gt_label,metric_name,n_samples,flip_rate,metric_mean,run
473,pred_changed,10,0.06,0.06,imagenet_mnv2_050_exact
473,topk_exit,10,0.0,0.0,imagenet_mnv2_050_exact
473,gt_prob_drop,10,,0.005856676535913721,imagenet_mnv2_050_exact
473,gt_logit_drop,10,,0.08734863683581352,imagenet_mnv2_050_exact
473,margin_drop,10,,-0.019202492758631708,imagenet_mnv2_050_exact
473,loss_increase,10,,-0.01209615794132565,imagenet_mnv2_050_exact
473,gt_rank_worsening,10,,-0.32999999999999996,imagenet_mnv2_050_exact
159,flip_correct_to_wrong,10,0.027500000000000004,0.027500000000000004,imagenet_mnv2_050_exact
159,flip_wrong_to_correct,10,0.01625,0.01625,imagenet_mnv2_050_exact
159,pred_changed,10,0.05750000000000001,0.05750000000000001,imagenet_mnv2_050_exact
159,topk_exit,10,0.013750000000000002,0.013750000000000002,imagenet_mnv2_050_exact
159,gt_prob_drop,10,,0.001984178810816957,imagenet_mnv2_050_exact
159,gt_logit_drop,10,,0.1895462957024574,imagenet_mnv2_050_exact
159,margin_drop,10,,0.03676553770899772,imagenet_mnv2_050_exact
159,loss_increase,10,,0.029061167399973366,imagenet_mnv2_050_exact
159,gt_rank_worsening,10,,0.21000000000000002,imagenet_mnv2_050_exact
872,flip_correct_to_wrong,10,0.0,0.0,imagenet_mnv2_050_exact
872,flip_wrong_to_correct,10,0.00125,0.00125,imagenet_mnv2_050_exact
872,pred_changed,10,0.013750000000000002,0.013750000000000002,imagenet_mnv2_050_exact
872,topk_exit,10,0.03250000000000001,0.03250000000000001,imagenet_mnv2_050_exact
872,gt_prob_drop,10,,0.008662908460573816,imagenet_mnv2_050_exact
872,gt_logit_drop,10,,0.1815166387334466,imagenet_mnv2_050_exact
872,margin_drop,10,,0.0764755268394947,imagenet_mnv2_050_exact
872,loss_increase,10,,0.04654658961969746,imagenet_mnv2_050_exact
872,gt_rank_worsening,10,,0.2525,imagenet_mnv2_050_exact
632,flip_correct_to_wrong,10,0.013750000000000002,0.013750000000000002,imagenet_mnv2_050_exact
632,flip_wrong_to_correct,10,0.0,0.0,imagenet_mnv2_050_exact
632,pred_changed,10,0.06,0.06,imagenet_mnv2_050_exact
632,topk_exit,10,0.0,0.0,imagenet_mnv2_050_exact
632,gt_prob_drop,10,,0.0035729078783333533,imagenet_mnv2_050_exact
632,gt_logit_drop,10,,0.05335722357034682,imagenet_mnv2_050_exact
632,margin_drop,10,,-0.0009316352009773258,imagenet_mnv2_050_exact
632,loss_increase,10,,0.00040301848082619217,imagenet_mnv2_050_exact
632,gt_rank_worsening,10,,-1.54125,imagenet_mnv2_050_exact
173,flip_correct_to_wrong,10,0.00625,0.00625,imagenet_mnv2_050_exact
173,flip_wrong_to_correct,10,0.0025,0.0025,imagenet_mnv2_050_exact
173,pred_changed,10,0.07499999999999998,0.07499999999999998,imagenet_mnv2_050_exact
173,topk_exit,10,0.0075000000000000015,0.0075000000000000015,imagenet_mnv2_050_exact
173,gt_prob_drop,10,,0.0051695460941118656,imagenet_mnv2_050_exact
173,gt_logit_drop,10,,0.18516467638313772,imagenet_mnv2_050_exact
173,margin_drop,10,,0.030529052764177323,imagenet_mnv2_050_exact
173,loss_increase,10,,0.03244032367460755,imagenet_mnv2_050_exact
173,gt_rank_worsening,10,,0.55625,imagenet_mnv2_050_exact
664,flip_correct_to_wrong,10,0.0775,0.0775,imagenet_mnv2_050_exact
664,flip_wrong_to_correct,10,0.0025,0.0025,imagenet_mnv2_050_exact
664,pred_changed,10,0.11750000000000001,0.11750000000000001,imagenet_mnv2_050_exact
664,topk_exit,10,0.008749999999999999,0.008749999999999999,imagenet_mnv2_050_exact
664,gt_prob_drop,10,,0.005401095066408743,imagenet_mnv2_050_exact
664,gt_logit_drop,10,,0.09569234054535627,imagenet_mnv2_050_exact
664,margin_drop,10,,0.025518770478665832,imagenet_mnv2_050_exact
664,loss_increase,10,,0.03726220551966268,imagenet_mnv2_050_exact
664,gt_rank_worsening,10,,0.3375,imagenet_mnv2_050_exact
645,flip_correct_to_wrong,10,0.0,0.0,imagenet_mnv2_050_exact
645,flip_wrong_to_correct,10,0.0,0.0,imagenet_mnv2_050_exact
